Crop,N,P,K,Temperature,Humidity,pH,Rainfall,Yield
cotton,,30,,27.0,86.7,,140,unknown
sugarcane,,,,,,6.3,,3790.7
soybean,,39,58,,54.2,,136,
wheat,100,32,,17.7,80.5,,,unknown
soybean,129,,,,,,,
banana,,,79,,,,,
wheat,,37,,29.5,,,,2977.3
unknown,97,,,,,,,
,,,,,,5.5,,unknown
barley,98,,,19.8,31.1,,197,
groundnut,,,,,57.2,,82,1896.1
cotton,,,,21.0,,7.6,,3061.8
N/A,120,50,,16.4,81.4,6.7,,3635.1
groundnut,,56,,,,7.1,,1478.4
sugarcane,,65,79,,,,,5074.2
rice,,,,39.1,,5.6,140,
unknown,53,,,23.8,,5.2,,2346.9
banana,,,78,,,,,
rice,,,,,63.7,6.5,,3338.9
barley,,,,,,,,
soybean,68,,,,,,,3532.8
,,,,30.6,83.4,6.4,,unknown
banana,81,68,,,98.0,,,
maize,,,,,75.0,4.8,,unknown
sugarcane,,,,,46.4,,,
barley,112,29,60,,55.1,,90,
unknown,,26,73,,,4.6,276,unknown
soybean,,,,,33.9,,263,
,,,,,,,,unknown
banana,,,,31.4,,5.6,,
millet,,,69,,33.1,5.4,,unknown
N/A,,,,,47.0,4.7,,
,,,,,,,264,unknown
cotton,,,,32.4,,,,
wheat,,,,,60.6,,91,unknown
barley,,,,,42.2,5.2,,2894.1
N/A,,,,30.7,,5.3,,
millet,84,,,,96.3,,,unknown
banana,,,60,21.1,88.1,8.5,,3736.2
sugarcane,,68,,28.5,75.0,,,
rice,93,64,,,,6.7,,3482.0
barley,54,,,,,7.0,,unknown
maize,,,,,,,,2445.4
maize,,53,55,,,6.4,,
soybean,51,41,,,,7.8,,
maize,,,,37.0,,,,3941.7
unknown,,,,,,,195,
N/A,104,41,26,,,7.1,,
sugarcane,,28,,18.7,73.4,4.6,,
sugarcane,,,22,,99.4,8.0,184,
groundnut,,,,,,5.7,,2486.2
cotton,,39,,,81.7,,,
soybean,,36,48,27.6,84.4,7.5,,unknown
wheat,,,,37.0,,,,
maize,,31,49,,,,,
wheat,,,69,33.7,,,,unknown
wheat,66,,,,,,,2936.9
sugarcane,47,51,66,,,,,
soybean,,,,,92.5,5.0,,unknown
barley,,65,,33.1,,,,2303.3
millet,,24,70,,,,229,
,106,,,28.2,71.4,,,
soybean,129,78,,,,6.9,68,
cotton,,,39,,34.8,,,unknown
maize,,,65,,66.7,,,
soybean,47,67,,,58.6,,273,
cotton,74,,,,,,95,2552.7
N/A,86,33,55,,,,,
N/A,,70,41,,,,,3240.6
rice,,46,,,99.5,,,
wheat,,48,,,,,,2578.3
rice,,,,33.7,41.7,,,
wheat,,24,,,,7.1,,unknown
rice,116,,,,,,,
millet,,,,,,8.4,,
soybean,,,46,34.2,72.0,7.9,,2709.5
maize,,,48,25.6,73.7,,,
unknown,,73,,,,,199,3273.0
wheat,68,,,,,8.5,219,unknown
cotton,72,,,24.6,,,189,
sugarcane,,37,41,,,,,unknown
,118,,,,,4.8,,3822.6
cotton,,33,76,,,6.2,116,unknown
cotton,42,,,36.2,,,,unknown
banana,,,,,,,,
unknown,,,,28.4,58.6,,,2725.8
rice,,75,,,42.9,,,
sugarcane,,,64,,,7.9,,unknown
sugarcane,,,,,,,97,
millet,,,,,,8.0,,
unknown,,26,64,,,,,
,,,59,24.0,,,259,
N/A,,,,17.4,,4.6,156,
sugarcane,,,,,,,63,unknown
groundnut,,,,,57.4,,190,
cotton,83,39,28,24.8,,,87,
banana,,34,76,,,6.2,,
cotton,,50,,,98.7,,,
sugarcane,119,,,35.1,59.7,4.7,,
groundnut,112,,,,,,76,
N/A,83,,45,,,5.2,,2815.8
maize,,,,18.1,,,,
wheat,,,,25.1,,,,unknown
maize,,,50,21.6,56.3,,,3028.4
millet,,34,,38.4,,6.2,,
wheat,,,,,,,100,unknown
soybean,68,41,77,,,,110,2296.0
barley,,,,,,,,
rice,,55,32,30.5,,,,unknown
wheat,,64,,,,,,
millet,,,75,,,,,
groundnut,,44,,,,,,unknown
rice,113,,,,84.0,8.0,,
,119,,,,90.1,6.5,148,unknown
millet,,,,,75.3,7.0,,
banana,,,,,32.8,8.0,,unknown
barley,77,69,,,,,,
cotton,,,,,,,138,
maize,84,,,,,,177,
maize,,59,,19.2,82.9,,,unknown
banana,,,,23.9,,5.3,,3437.9
banana,,35,78,,69.9,,,
groundnut,63,,,35.3,,,168,
millet,,,,,,,137,
maize,108,,50,,,,265,
groundnut,,21,70,,81.7,,132,
wheat,77,23,,,,5.8,,unknown
cotton,,46,,,,,,2870.0
wheat,,,,37.9,51.8,7.2,,
sugarcane,,,68,,82.5,8.2,,3940.4
maize,95,,,,,6.0,199,
banana,,,,,98.6,,,
sugarcane,47,,,,,,274,
barley,,,,34.7,41.1,7.3,,3525.8
millet,,,,,,,,unknown
N/A,,,,,,,123,
unknown,,,,23.2,,,,2570.7
,,76,,,,5.3,236,
soybean,75,64,,,,,,
millet,,,,17.2,48.3,,,unknown
banana,,74,,,69.6,8.5,179,
soybean,119,23,,,,,160,
N/A,,,74,,,,101,
millet,,62,,,50.0,,,unknown
maize,48,,42,,61.5,7.9,151,
groundnut,,60,,,65.3,,278,
N/A,,,22,,,6.8,,unknown
maize,,56,54,,,,,2451.0
,95,51,35,,41.6,,,3115.9
rice,74,30,,30.8,,6.7,,unknown
cotton,64,,,,,6.2,,unknown
rice,89,64,51,,,4.5,,
rice,,79,,24.6,,,,
maize,57,,,,,8.3,243,unknown
groundnut,,67,,,,8.2,95,unknown
banana,90,,,,61.2,,,
soybean,,,,17.5,51.8,,,3377.1
maize,,,80,,,5.6,203,
cotton,,72,,18.5,72.3,8.3,,
groundnut,,,,,96.6,,,
maize,,44,76,,79.7,8.1,81,unknown
sugarcane,,22,,,,,133,4762.8
cotton,,,77,29.4,85.5,,,
sugarcane,107,,71,,,,,
cotton,,,63,,,,,2026.9
maize,73,35,,,45.2,,131,unknown
unknown,,,75,,,4.5,228,2840.7
wheat,46,76,,,,,,unknown
soybean,57,,70,,,,,unknown
maize,,70,,19.6,78.3,8.2,,unknown
soybean,110,,79,,96.1,,,
groundnut,75,,74,29.3,,7.1,,
N/A,,69,29,,,5.2,,
sugarcane,,54,48,,,7.0,,3242.2
N/A,,,,,,8.0,98,
sugarcane,,,32,,72.4,,220,unknown
sugarcane,,74,,,,,66,
rice,73,,,23.6,,8.3,276,4527.1
groundnut,99,,,,,,,1781.6
sugarcane,,33,,26.6,,,274,3677.6
sugarcane,,22,,,,,202,unknown
,,45,,,,,,unknown
groundnut,,47,,18.4,,5.0,,unknown
sugarcane,,41,31,,,5.9,,
cotton,98,,,32.0,,6.0,,unknown
banana,,,,,,,137,unknown
banana,,39,,,,,,4537.1
soybean,56,70,,19.5,45.5,7.4,188,
,,,,35.5,,,,
barley,68,41,71,,,4.9,,unknown
barley,,72,,,,,,unknown
unknown,93,59,,,,,295,
rice,,39,36,,98.5,,74,
barley,118,,,,43.4,,261,
millet,,,24,,,8.1,,2659.1
unknown,99,,,,,,,unknown
,,,,20.1,,,,
soybean,53,59,49,19.9,,,,2994.2
cotton,,,43,34.0,34.5,,56,
barley,,77,58,26.4,66.0,,,
millet,,45,,,,,232,2074.2
cotton,,,,34.5,,7.9,,1967.6
soybean,,,80,,,,,unknown
millet,,,,,,,92,
banana,,,44,,,,151,unknown
unknown,90,72,,,,5.1,,3058.1
banana,108,,,,63.2,,124,unknown
barley,,64,,,77.0,6.7,,
,,26,,35.6,,,,
millet,,57,,,,,,unknown
maize,,,,27.5,,,102,
unknown,,,61,,80.0,5.5,,
rice,,,51,37.7,,7.6,,
banana,,,39,28.0,,5.7,,unknown
wheat,,,,38.8,42.9,,,3888.5
,,,39,,,8.0,,3594.7
barley,,,,,,,,
cotton,,,,38.6,,5.8,,
millet,78,,80,,,,,unknown
banana,,,80,,,4.9,80,
unknown,,,,,,,,1823.3
rice,80,,,,,,84,unknown
soybean,85,41,80,,,,,unknown
barley,,,,,,,,3346.1
,,37,29,,,4.8,,3683.5
soybean,,79,,,,,265,unknown
millet,,65,,,,,,
rice,128,,,26.4,,,,
unknown,,52,,17.8,,,,
rice,,21,,31.1,,,,
rice,,,37,,,,,
banana,62,,70,27.1,75.8,,,
rice,121,,,,,,210,3473.9
cotton,,,,20.6,59.5,4.7,207,
N/A,,,,26.7,86.6,,287,
wheat,,44,,29.1,,6.1,,3167.8
banana,,,77,,,,,
cotton,,,,24.7,63.5,5.9,,
maize,95,74,,37.3,,,,
rice,77,,46,,73.1,,,
N/A,,,,,,5.2,132,3107.9
soybean,125,57,,,72.2,,,
banana,117,,39,,,,,
rice,122,53,,,31.7,5.6,269,3160.3
cotton,,51,,,75.2,6.3,150,2483.2
maize,,,,30.9,,,,
sugarcane,,56,,,,,,
cotton,66,,,,67.1,,,
groundnut,85,,,,,,186,
soybean,,,,,,8.0,,
barley,,76,,37.4,,,132,
soybean,121,65,,,,,,2976.4
wheat,,27,,35.2,,4.9,,
soybean,,,,39.5,46.4,,53,
wheat,115,,50,,56.5,,149,unknown
sugarcane,,59,,,76.6,4.8,89,4608.9
barley,,,,,,,,
sugarcane,,,,18.5,,6.2,,4563.3
millet,66,,,,,,,2963.0
barley,,,,22.0,,5.1,142,
millet,,,,,47.4,,187,
,90,48,,,,,,
N/A,,78,58,,76.6,,271,unknown
rice,94,,,28.9,,6.4,226,
cotton,75,,,,75.7,,,2929.7
,118,,,,55.2,,,unknown
,110,,,,,,,3997.1
maize,,41,25,,,,160,
rice,72,,,,,,,unknown
N/A,,,,,60.5,,207,
maize,,,,28.7,65.1,4.9,69,
millet,,,79,,79.8,7.1,,unknown
sugarcane,95,72,,37.2,,,,3940.7
banana,,,,18.2,,,54,
soybean,,,30,,,,,
wheat,,48,45,22.9,50.6,,,unknown
millet,,33,,,,,,unknown
wheat,,79,,37.9,55.5,,,
millet,50,56,,,,,151,
sugarcane,105,,38,30.8,48.4,6.0,,
sugarcane,,22,,,70.4,6.0,,
wheat,89,,,38.1,,,,2772.8
wheat,,65,,25.5,,,,3593.4
barley,,79,,,60.9,7.7,,
groundnut,63,47,,,,,,
sugarcane,,41,,,,,57,
unknown,,,,,57.6,,,
,70,,66,,,6.9,,3350.2
millet,,,,19.5,,,,2791.9
maize,,,,19.9,48.8,7.7,,3187.9
unknown,88,,49,,,,,
millet,,,,15.2,,,150,unknown
rice,,,,,,5.3,202,unknown
sugarcane,112,,,,88.7,,,unknown
banana,107,,,,,8.3,169,
unknown,82,68,,35.2,,,,unknown
,42,,,15.6,,,,
N/A,126,41,,,92.3,,,
wheat,,68,,20.3,,6.4,,3679.6
millet,,,50,,64.9,,,
N/A,79,,47,23.5,,,149,2816.8
barley,53,,,,,,,unknown
,111,,,,81.7,,,2049.7
millet,,,,38.6,68.5,,248,
barley,,,,,,,166,
groundnut,107,,,,34.4,,,unknown
N/A,77,37,47,,,,148,
maize,,,,25.5,,6.2,107,unknown
N/A,,,55,34.2,,7.8,291,unknown
,85,,,15.5,,,,
,,63,,19.2,,,,2916.0
barley,92,31,,23.9,44.1,,,
barley,,,,,34.4,5.8,,2538.9
N/A,128,,,,90.8,4.6,,unknown
rice,,20,36,,56.4,,194,
sugarcane,,,,,36.8,,,unknown
N/A,99,,27,,,,,
groundnut,,,,,,,,unknown
wheat,89,,,,64.9,,,2782.0
banana,,76,,,,7.9,89,3977.3
unknown,,,,,,,254,
N/A,,,,,,,,
maize,52,,,,,,,3713.4
unknown,,,34,39.5,,6.5,79,
soybean,,38,,27.6,31.4,6.6,,2893.9
rice,50,,,,62.1,6.2,223,unknown
rice,105,,25,35.8,,,184,unknown
wheat,,,,25.4,,,,
soybean,,,65,,,,,unknown
sugarcane,,31,,21.5,59.6,5.7,,5801.5
rice,71,,,,,,,
sugarcane,,,,,,,,
N/A,102,59,,,,7.8,,
soybean,114,,,,,,,
N/A,,59,76,,,5.5,195,2088.0
,,,,,,,207,4481.5
barley,78,,,,51.0,,,
millet,,,,,,,,unknown
rice,66,37,,,82.9,,210,4523.9
soybean,112,,,15.1,,,,
N/A,81,,53,29.2,,,,
N/A,67,,61,28.3,,,207,3259.7
unknown,,,,,,,206,unknown
millet,109,,,19.9,,,,
groundnut,,,,,,,,1765.9
sugarcane,89,,,,,5.9,,
millet,50,77,46,,,,,unknown
banana,,,77,15.7,65.4,4.6,,unknown
rice,,,,,,,,
soybean,,31,,33.9,95.2,6.8,,
wheat,94,,,,,,186,
sugarcane,,,56,30.6,,8.3,,
millet,,,,,,,,unknown
millet,86,,,,,8.3,237,2517.0
maize,,,45,,81.9,,,3200.9
millet,,,40,,74.6,,,unknown
soybean,,,,24.0,,,,unknown
cotton,,,53,30.0,,5.6,,unknown
N/A,,22,72,,59.8,,,
maize,,52,,,,5.1,,
soybean,,,,,,,,unknown
millet,,,,24.0,,,,
soybean,,,,,78.8,,85,
cotton,,,,30.2,,,,
groundnut,,,,,51.9,,100,
banana,,,,22.2,,6.3,52,
banana,,,,,,8.4,,3271.5
groundnut,65,,32,,,,,2305.5
unknown,112,,63,,,,,unknown
rice,,,,,49.3,,224,unknown
,,73,,18.1,,,,
maize,89,43,56,,,,,
barley,,49,,16.0,,,,
millet,,29,,38.8,,7.7,76,2590.9
,,,59,,52.1,,231,3750.6
maize,108,,61,,75.6,5.3,,unknown
millet,,37,21,17.4,,,142,
millet,,62,,,,,,
rice,,,,,,4.8,,
groundnut,106,,,,98.6,,79,2377.1
N/A,61,47,,,75.9,,,
banana,,,53,,,7.4,,
N/A,,63,,31.1,,,,3189.1
wheat,,68,,,70.3,6.1,211,
N/A,,,,,,,,
sugarcane,,73,51,,,,,4528.2
N/A,,,49,,,7.8,,2948.3
soybean,81,,,,,,,
banana,,42,62,,,,,3655.3
N/A,102,,,,78.0,,,2290.2
groundnut,116,,,,,,,1515.5
barley,116,,,30.2,,,247,
soybean,,,,,,,,
groundnut,,,,,90.5,6.7,,1704.5
cotton,,,,,,,,
N/A,99,,,,,8.3,224,
maize,85,,51,15.9,44.3,6.7,202,3811.5
rice,85,,,,,,,4453.9
millet,,,,,,4.8,,
rice,70,,,,55.0,,222,
millet,108,,,,,,,
millet,,,22,,,5.2,98,3288.0
,104,,,,55.1,,112,unknown
cotton,52,24,40,,,4.7,185,unknown
,,,,,,,,unknown
wheat,,,,,,,,
millet,,,74,,51.7,,287,2147.5
wheat,80,,,,,6.9,300,
groundnut,100,66,,22.3,,5.0,,unknown
cotton,,,,,32.5,,280,
barley,,,,17.6,41.1,6.9,,
,60,,,,,8.0,,3445.2
banana,44,73,,,31.5,5.4,,unknown
maize,,,23,,83.8,,239,
unknown,,,,29.1,,,,2967.1
wheat,,,39,,,,,
millet,,,52,,,,160,
rice,,67,,24.5,,,198,
barley,,,52,,,7.1,183,3501.8
banana,,31,,,,5.1,153,
groundnut,,,,,,5.1,113,2096.1
groundnut,96,,52,27.3,,,,
sugarcane,,68,62,,,4.9,,
soybean,,26,,36.6,,,,
sugarcane,,,,,,,245,
cotton,,50,25,26.6,,,90,
banana,,,,,,,283,4729.3
banana,68,54,38,18.4,,7.5,,3452.9
barley,,,33,38.3,63.6,,,2117.7
,,,,,44.8,,,
wheat,,,,,,8.2,,
maize,,58,,,66.0,,,3610.2
millet,82,54,,,56.9,5.7,,
wheat,,,27,17.9,,,,unknown
groundnut,,,,,,,66,
cotton,48,,,,63.9,,,
soybean,,66,,,,,128,2743.6
millet,,,,,70.9,4.9,210,2313.0
rice,,,,,,4.6,70,unknown
millet,,,,,,4.8,,
barley,,,,,54.8,,,unknown
rice,,78,29,,45.2,,,
rice,,,,,94.3,,,unknown
,56,,,,,,,
maize,,,56,,,,,
millet,129,,,,,,,unknown
soybean,,,,20.5,,,,2617.4
banana,,,42,,,,,3349.2
groundnut,,73,,,,6.7,176,
soybean,,39,,,,5.9,,
banana,,25,41,,,,,
banana,,,,36.1,,5.2,,3868.6
banana,,,24,,,5.5,176,
sugarcane,,,,,,,,
,,,,,85.2,,276,
cotton,103,56,46,,93.3,,90,2374.2
maize,89,71,,36.3,,4.8,239,3385.1
sugarcane,101,,34,18.1,49.2,4.9,,3461.7
barley,,,37,,,8.1,,
wheat,67,,79,23.7,79.0,,,3172.0
unknown,,,72,39.5,,,,unknown
N/A,90,,,,,5.1,240,
millet,,,,,,,57,
wheat,79,,37,,,,,
wheat,,,,37.5,,,,unknown
wheat,,,26,,,8.0,,
millet,,,77,,81.4,,129,
millet,,21,36,,,,287,
sugarcane,82,42,47,,,4.7,,
cotton,96,,,,,7.9,,
barley,70,,,,,,,2835.2
soybean,,77,46,,,,,unknown
soybean,58,,,,,8.3,,
,119,,,22.5,,5.9,,
maize,71,,,,,,143,2427.1
banana,47,,75,,,,,3752.3
sugarcane,,,,,67.2,,,
maize,56,,,22.4,87.5,,,unknown
soybean,,34,,,,,,3330.0
soybean,79,,,,,5.8,165,
barley,,,,34.7,68.2,,,
soybean,,33,,,82.6,,,
N/A,,64,,,,,230,unknown
,,42,42,,35.3,,,2491.3
groundnut,,,,,31.3,8.0,126,2176.4
millet,,,,,,,,2738.5
cotton,96,,,,44.1,,,2890.8
maize,,56,,26.3,73.4,7.7,207,
rice,126,,,,,,,
,,,76,,30.5,,,unknown
,56,,,,,5.1,,
N/A,,27,,,72.8,5.0,119,
maize,48,,,33.2,,,,
millet,,,,,57.6,,131,3494.8
groundnut,,,,,,7.2,226,1785.6
groundnut,,,,,,,214,2032.2
rice,,,,28.9,,6.9,,
soybean,,43,,,,,,
unknown,85,,,25.2,,7.1,,3402.9
millet,75,,22,,,,157,
soybean,113,,,,,4.6,65,
cotton,61,,25,,,6.5,270,2441.7
unknown,,45,,,,,,
N/A,,,,,,,,unknown
soybean,76,,,,,7.7,,unknown
N/A,44,,,16.5,34.7,7.8,,unknown
N/A,59,66,36,29.6,,,257,4102.8
maize,89,,38,,45.7,,,
N/A,54,,,31.4,,5.6,57,4124.9
millet,71,20,,15.4,97.7,,,
barley,81,,,,,5.6,,unknown
millet,,,24,33.8,70.7,,,
wheat,,,,,,6.1,,
,,,37,,64.1,,,3701.2
wheat,74,,56,,,7.7,51,3424.4
banana,67,41,,27.4,,,79,4540.6
rice,,56,74,,,,91,3966.5
maize,,,,,,,,unknown
millet,,,79,,,,,
millet,,,,,,,,
barley,,,,,71.6,4.5,,unknown
maize,74,,67,,,6.2,125,
wheat,,,57,,53.6,7.3,,unknown
rice,,,,,78.5,,94,unknown
maize,66,,,,,6.7,,unknown
groundnut,,,,24.9,,,,2003.3
banana,,,,39.3,,7.7,,
groundnut,,44,,,,5.1,,
unknown,,37,62,,80.6,5.0,281,
soybean,,39,,,,,92,2277.1
,74,,,,,,78,unknown
barley,,,67,36.8,,,,unknown
wheat,109,55,,,32.5,,,unknown
N/A,,,,29.5,,,,unknown
barley,90,71,,33.5,,,,unknown
barley,66,,,,,,,2252.8
barley,,28,28,,,,217,3455.4
soybean,50,,67,,59.1,,,
maize,72,,48,,71.4,4.5,,
banana,,24,,,90.6,5.1,156,
barley,70,71,,,,,155,2691.9
cotton,,23,,33.4,,7.9,92,unknown
groundnut,,,,,92.2,,225,1960.1
rice,,42,,15.2,,,189,unknown
N/A,,,,,,6.3,261,unknown
,,,22,,87.1,,,unknown
maize,,,,38.0,,,,2672.4
wheat,49,78,,24.1,,5.0,,2745.6
cotton,41,41,,,,,,unknown
soybean,91,,78,,84.4,6.9,,
unknown,,52,,,,7.1,147,
millet,96,77,,,85.1,8.4,,unknown
sugarcane,,,,,31.6,6.8,280,
rice,,40,,,,6.2,,
unknown,129,46,,23.8,,,,
wheat,,65,,,,6.2,167,unknown
barley,,,,,,7.5,93,unknown
maize,,,68,26.0,68.0,,,3782.9
,85,,21,,,8.0,61,unknown
groundnut,,30,,,33.3,7.7,237,
banana,,31,,,,,76,3260.2
cotton,,,,34.8,48.6,6.3,,1833.9
groundnut,,,,22.5,,,,
cotton,,39,74,,,,78,unknown
soybean,,,56,23.4,75.9,,,
groundnut,73,,,34.1,,7.7,,
rice,,,,,44.5,,,4376.4
millet,125,54,,,,,,unknown
,,52,,30.5,,5.9,,
unknown,103,30,,40.0,41.8,,136,unknown
,,,,,,5.8,,
N/A,,44,,,,7.7,,
soybean,,34,,29.1,,4.5,,unknown
millet,62,,72,38.2,89.6,,114,
groundnut,68,42,,,34.8,6.1,258,unknown
barley,,34,,19.1,,,,3518.0
banana,,,,36.3,,,113,
wheat,,,,,41.3,,,
barley,115,,,,,5.5,295,
wheat,55,,,,,,168,
wheat,,,,,40.8,,,
groundnut,,23,,33.5,94.9,,,unknown
barley,,,24,,,,114,
N/A,83,,,,,,,
maize,93,,,39.1,,,287,
cotton,102,,,24.7,,,,unknown
groundnut,,,,19.9,,,,
barley,,,,,,,,
maize,,41,,28.5,55.8,,96,2530.7
banana,,,47,,61.0,,,unknown
unknown,,25,,,73.8,6.9,,
unknown,84,,,15.3,,,237,unknown
cotton,99,,,,94.8,6.5,122,
millet,,,52,,,,204,unknown
millet,,,,,54.1,6.4,,unknown
rice,,,40,,,7.5,,4019.4
N/A,,50,,,,5.9,,2322.8
banana,,,,17.8,,8.3,201,
unknown,,,,,51.4,6.1,,
wheat,130,59,,27.9,,7.4,,
barley,,,52,,91.4,,,2926.4
N/A,,,63,,,,,4137.3
rice,,,31,29.3,,,273,2863.4
rice,,,,,68.7,,,2988.8
maize,56,,,,,,,3434.1
maize,,32,,15.0,,,,
N/A,112,,,,,5.6,,
N/A,,25,76,35.9,43.8,,,unknown
cotton,,,,,64.0,,,
,46,,,,,,,
wheat,,52,63,18.4,,5.9,,
soybean,48,,20,,,,,
N/A,78,,,,66.8,,,unknown
wheat,,,,32.5,,,,3846.5
groundnut,,,,,,,,
millet,,73,67,,36.4,,,
wheat,,,35,,,,136,
groundnut,,,63,,,,134,unknown
cotton,,,73,,56.6,,136,
N/A,,23,,15.2,80.2,5.3,206,unknown
soybean,114,,,33.4,32.8,,,unknown
sugarcane,,30,62,,,8.1,206,unknown
N/A,107,63,,,,6.6,150,
barley,,,,21.0,44.6,,256,
wheat,,70,42,,85.4,7.6,56,
wheat,,37,,,61.8,,197,
N/A,,,55,,,,,unknown
sugarcane,,,,,,,67,
N/A,52,,,,,4.6,,
wheat,,25,52,,36.5,6.3,,3532.4
banana,,49,,,,,58,
rice,,,,,,,,
banana,121,,,,86.0,,287,
rice,,,,,32.9,,,unknown
maize,,,,18.8,,,,3693.2
banana,120,,,17.7,48.5,,,unknown
millet,,38,32,29.8,,,,unknown
soybean,,,34,,,5.9,,
banana,54,,,,,,,
sugarcane,103,,,,73.6,,211,
banana,,,79,,,4.6,,4696.4
,,,,,71.0,,,
maize,,43,48,,32.0,,,3358.1
rice,130,41,,,,,127,unknown
cotton,114,,32,16.5,,7.6,,2997.9
wheat,,,36,,,,,
unknown,,,44,29.3,,,291,unknown
banana,,36,,,,,,2869.3
maize,,,,,94.3,5.3,,unknown
wheat,,63,,,,5.0,,
barley,107,43,40,,,,109,
wheat,,,60,,,,,
barley,,,,,54.9,,,unknown
unknown,,48,62,,86.2,6.4,,unknown
groundnut,52,,,21.4,,,,unknown
barley,111,,,,85.9,6.4,,
millet,52,,,,,,,
soybean,,,54,,62.8,,,3398.3
banana,,,,,87.0,,202,
rice,,,,19.8,43.1,,,
wheat,109,,,,,,265,2836.5
wheat,67,,66,,,5.3,,
groundnut,,,,,33.2,,,1622.1
,,,,,66.2,7.1,79,4482.6
wheat,,51,39,,67.6,,,
wheat,,,,37.3,,8.0,,
N/A,93,43,76,,,,,
barley,,77,,21.9,,6.3,,
banana,,,,,76.1,,,
unknown,,73,,,,,,3089.6
,,,,28.2,53.1,,,unknown
soybean,119,,,28.8,95.9,,,
,,,58,36.3,97.9,,,
,,,,36.4,,,126,2771.4
sugarcane,,65,,,,,,
barley,,55,62,,68.9,,,
maize,,,,15.5,,,169,
soybean,73,,75,,,,,3188.3
soybean,,58,29,15.1,,7.7,,
N/A,,,,,,,,unknown
wheat,,,,34.1,99.5,,225,
groundnut,,47,34,,40.4,4.7,94,
unknown,115,,,37.8,62.8,5.0,,unknown
N/A,118,,,,97.0,7.1,189,
millet,122,,,33.8,,8.3,126,
groundnut,47,68,30,16.0,75.0,,136,
maize,,39,,37.4,,,,unknown
unknown,99,,,23.1,,,55,
rice,,,,,,7.7,,
banana,44,,,,,,109,unknown
cotton,46,54,,38.5,,5.7,,
barley,,,,34.1,65.1,,,
rice,,,,,37.1,,,unknown
groundnut,60,,,,,,68,
cotton,101,,,,,,,unknown
unknown,,,,,86.3,,,
cotton,,32,,,84.1,,246,unknown
N/A,46,60,21,,,,,unknown
N/A,,,49,,,7.4,,
millet,,,,,,5.1,77,
maize,,,,,,,169,
wheat,113,58,,25.1,,,279,
unknown,,62,,,85.2,,,3811.5
maize,,42,,27.9,,7.6,,
cotton,,69,,,,7.9,,3209.8
N/A,93,,63,,49.9,,,
groundnut,112,73,,,,,,
barley,,,76,,,,,2950.0
rice,46,35,46,,,,62,3442.1
barley,93,69,79,,,,244,unknown
,,,40,20.2,,,,
soybean,,26,,,,,,
soybean,,46,,,,7.7,,unknown
millet,82,,,,,,,unknown
soybean,,25,,,71.0,,110,
rice,,68,78,,,,,4166.8
wheat,57,,76,,79.9,,,unknown
banana,104,,50,,,7.6,124,
N/A,,,,,,,175,3649.4
soybean,,35,36,,74.6,7.2,141,3814.1
maize,,,,25.3,,,220,4022.9
banana,,,,,76.2,8.2,147,2961.3
unknown,65,,47,,50.8,,103,unknown
banana,88,,,,36.4,,,
N/A,,,,,,,57,2940.0
wheat,80,74,,,,,,
N/A,,,,,,,,
unknown,55,,25,,,,,5016.7
unknown,,,,,36.0,,,unknown
unknown,,33,,,,,,unknown
sugarcane,,,77,37.2,69.1,7.9,,3924.7
maize,,,,,,4.9,,
wheat,,,,,,,,
groundnut,79,,,,,,119,
groundnut,,21,23,,65.5,,,
rice,,,61,,59.8,,,unknown
barley,118,,,,,8.0,,unknown
soybean,,,,38.4,,,222,unknown
N/A,,,38,,,,,3150.7
,,65,,,50.0,,,
banana,,,37,19.8,,,,2872.5
N/A,,,,,,8.2,58,
banana,85,,,,,,,unknown
soybean,101,76,,,,5.2,,
rice,,,33,,37.8,,,
N/A,,70,,,,5.6,,4542.1
maize,124,23,30,34.7,,5.6,,
groundnut,,,66,,73.1,,245,
millet,,21,,19.0,,,,2545.5
,,,70,,44.7,,157,
sugarcane,,,51,31.6,67.7,,226,3829.3
rice,108,,,,64.3,,294,unknown
cotton,,,,,,7.4,,unknown
soybean,,,76,,,7.2,96,
groundnut,,,,,,6.5,86,
maize,,,,,,,,2673.4
sugarcane,,26,61,38.6,,,,5493.7
unknown,,,49,,95.3,,,2720.2
banana,,,42,,,,,unknown
groundnut,,,,,,7.3,,
unknown,,,,,,,,2076.5
unknown,,,,,,,,
groundnut,103,,,,39.5,,55,1748.8
sugarcane,83,40,35,,,4.6,,
sugarcane,,,,23.8,,8.2,69,unknown
unknown,69,,,17.8,,,,unknown
soybean,,,,34.8,,,224,
wheat,,,80,20.5,,,185,
rice,,,,,,,,
unknown,40,48,53,,,,,
,,,,21.0,53.6,5.0,150,1989.8
groundnut,42,,42,,94.3,4.7,,unknown
cotton,,,45,,,,,unknown
millet,,,,,60.6,8.4,,2780.2
rice,62,42,53,27.0,,,,3515.1
,70,,,,82.5,,209,
maize,,,24,16.5,,,,unknown
banana,,,35,32.1,46.3,,234,
millet,,48,,,,8.4,,unknown
banana,,,,17.6,42.3,,212,3733.1
,100,41,,,64.0,8.0,,1769.0
unknown,87,,59,,37.7,,266,4698.7
wheat,115,70,,16.6,,6.5,,3050.9
wheat,,42,,,,,,unknown
,41,,,,,5.4,274,
banana,,,,,,,,
groundnut,,41,,18.3,90.0,,,2091.9
cotton,,58,,38.4,54.5,,100,
